Remove Pin=SW1-1 From Net=KEY1
Remove Pin=SW2-1 From Net=KEY2
Change Component Designator: OldDesignator=C14 NewDesignator=C19
Change Component Designator: OldDesignator=C15 NewDesignator=C20
Change Component Designator: OldDesignator=C16 NewDesignator=C14
Change Component Designator: OldDesignator=C18 NewDesignator=C15
Change Component Designator: OldDesignator=C19 NewDesignator=C16
Change Component Designator: OldDesignator=C20 NewDesignator=C18
Change Component Designator: OldDesignator=D1 NewDesignator=D2
Change Component Designator: OldDesignator=D2 NewDesignator=D3
Change Component Designator: OldDesignator=D3 NewDesignator=D1
Change Component Designator: OldDesignator=D4 NewDesignator=D5
Change Component Designator: OldDesignator=D5 NewDesignator=D4
Change Component Designator: OldDesignator=SW3 NewDesignator=SW1
